Date,Tsunami,Name,VEI,Magma_Lava Flow,Fuming_Level ,Seismic_Signal,Gas_Emission,Acoustic_signal_collected,Gravity_Description,Deaths,Injures,Damage,Houses_Destroyed,Volcano_Alert_Level,Aviation_Color_Code
1262304000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1262390400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1262476800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1262563200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1262649600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1262736000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1262822400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1262908800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1262995200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1263081600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1263168000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1263254400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1263340800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1263427200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1263513600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1263600000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1263686400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1263772800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1263859200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1263945600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1264032000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1264118400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1264204800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1264291200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1264377600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1264464000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1264550400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1264636800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1264723200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1264809600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1264896000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1264982400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1265068800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1265155200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1265241600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1265328000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1265414400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1265500800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1265587200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1265673600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1265760000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1265846400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1265932800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1266019200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1266105600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1266192000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1266278400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1266364800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1266451200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1266537600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1266624000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1266710400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1266796800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1266883200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1266969600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1267056000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1267142400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1267228800,1,0,0,2,1,3,2,0,0,0,0,0,0, WATCH, ORANGE
1267315200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1267401600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1267488000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1267574400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1267660800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1267747200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1267833600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1267920000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1268006400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1268092800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1268179200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1268265600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1268352000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1268438400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1268524800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1268611200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1268697600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1268784000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1268870400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1268956800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1269043200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1269129600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1269216000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1269302400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1269388800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1269475200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1269561600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1269648000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1269734400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1269820800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1269907200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1269993600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1270080000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1270166400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1270252800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1270339200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1270425600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1270512000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1270598400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1270684800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1270771200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1270857600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1271030400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1271116800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1271203200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1271289600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1271376000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1271462400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1271548800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1271635200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1271721600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1271808000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1271894400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1271980800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1272067200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1272153600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1272240000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1272326400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1272412800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1272499200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1272585600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1272672000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1272758400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1272844800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1272931200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1273017600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1273104000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1273190400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1273276800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1273363200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1273449600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1273536000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1273622400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1273708800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1273795200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1273881600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1273968000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1274054400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1274140800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1274227200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1274313600,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1274400000,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1274486400,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1274572800,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
1274659200,0,0,0,2,1,0,2,0,0,0,0,0,0, WATCH, ORANGE
